,labels,time_ms,time_ms_trace,wavelength,value,experiment_name,trace_num,time_s,plant_species,plant_genotype,plant_id
894,artifact,4690.0,720.0,530nm,13,20240618_061824_maize_4191_2_DA,3,4.69,rice,4191_2_DA.json,0
895,artifact,4695.0,725.0,530nm,11,20240618_061824_maize_4191_2_DA,3,4.695,rice,4191_2_DA.json,0
896,artifact,4700.0,730.0,530nm,12,20240618_061824_maize_4191_2_DA,3,4.7,rice,4191_2_DA.json,0
897,artifact,4705.0,735.0,530nm,11,20240618_061824_maize_4191_2_DA,3,4.705,rice,4191_2_DA.json,0
898,artifact,4710.0,740.0,530nm,12,20240618_061824_maize_4191_2_DA,3,4.71,rice,4191_2_DA.json,0
899,artifact,4715.0,745.0,530nm,15,20240618_061824_maize_4191_2_DA,3,4.715,rice,4191_2_DA.json,0
900,artifact,4720.0,750.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.72,rice,4191_2_DA.json,0
901,artifact,4725.0,755.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.725,rice,4191_2_DA.json,0
902,artifact,4730.0,760.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.73,rice,4191_2_DA.json,0
903,artifact,4735.0,765.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.735,rice,4191_2_DA.json,0
904,artifact,4740.0,770.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.74,rice,4191_2_DA.json,0
905,artifact,4745.0,775.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.745,rice,4191_2_DA.json,0
906,artifact,4750.0,780.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.75,rice,4191_2_DA.json,0
907,artifact,4755.0,785.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.755,rice,4191_2_DA.json,0
908,artifact,4760.0,790.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.76,rice,4191_2_DA.json,0
909,artifact,4765.0,795.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.765,rice,4191_2_DA.json,0
910,artifact,4770.0,800.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.77,rice,4191_2_DA.json,0
911,artifact,4775.0,805.0,530nm,0,20240618_061824_maize_4191_2_DA,3,4.775,rice,4191_2_DA.json,0
